	1:Selke	(Global radiation)	DAILY								
	nodata	-9999													
	start	2010	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
Date	G-R
2010 09 03	18.117
2010 09 04	8.865
2010 09 05	10.845
2010 09 06	17.156
2010 09 07	15.526
2010 09 08	7.388
2010 09 09	5.738
2010 09 10	13.352
2010 09 11	12.670
2010 09 12	13.419
2010 09 13	10.464
2010 09 14	4.977
2010 09 15	13.226
2010 09 16	14.109
2010 09 17	8.868
2010 09 18	10.425
2010 09 19	13.694
2010 09 20	6.226
2010 09 21	13.159
2010 09 22	15.632
2010 09 23	15.456
2010 09 24	6.100
2010 09 25	4.288
2010 09 26	4.226
2010 09 27	4.164
2010 09 28	4.103
2010 09 29	7.091
2010 09 30	7.270
2010 10 01	8.330
2010 10 02	3.859
2010 10 03	10.066
2010 10 04	12.167
2010 10 05	9.518
2010 10 06	10.321
2010 10 07	8.505
2010 10 08	9.876
2010 10 09	10.690
2010 10 10	11.700
2010 10 11	11.617
2010 10 12	5.007
2010 10 13	7.723
2010 10 14	4.699
2010 10 15	3.187
2010 10 16	3.058
2010 10 17	4.845
2010 10 18	9.270
2010 10 19	3.114
2010 10 20	4.120
2010 10 21	3.773
2010 10 22	3.504
2010 10 23	7.173
2010 10 24	3.249
2010 10 25	6.821
2010 10 26	5.273
2010 10 27	2.636
2010 10 28	4.042
2010 10 29	7.652
2010 10 30	2.495
2010 10 31	4.139
2010 11 01	2.286
2010 11 02	2.539
2010 11 03	2.319
2010 11 04	2.163
2010 11 05	2.123
2010 11 06	2.085
2010 11 07	2.047
2010 11 08	2.010
2010 11 09	2.509
2010 11 10	2.411
2010 11 11	3.304
2010 11 12	3.567
2010 11 13	1.838
2010 11 14	3.960
2010 11 15	2.567
2010 11 16	1.745
2010 11 17	1.716
2010 11 18	1.687
2010 11 19	1.660
2010 11 20	1.680
2010 11 21	1.608
2010 11 22	1.583
2010 11 23	1.559
2010 11 24	1.625
2010 11 25	2.355
2010 11 26	1.754
2010 11 27	3.463
2010 11 28	1.452
2010 11 29	1.433
2010 11 30	4.121
2010 12 01	1.399
2010 12 02	1.383
2010 12 03	2.072
2010 12 04	4.116
2010 12 05	1.339
2010 12 06	1.409
2010 12 07	1.315
2010 12 08	1.304
2010 12 09	1.294
2010 12 10	2.376
2010 12 11	1.276
2010 12 12	1.269
2010 12 13	1.343
2010 12 14	1.297
2010 12 15	1.252
2010 12 16	1.977
2010 12 17	1.244
2010 12 18	2.099
2010 12 19	1.691
2010 12 20	1.239
2010 12 21	1.281
2010 12 22	1.241
2010 12 23	1.242
2010 12 24	1.245
2010 12 25	1.291
2010 12 26	1.253
2010 12 27	1.345
2010 12 28	1.264
2010 12 29	1.271
2010 12 30	1.279
2010 12 31	1.288
2011 01 01	1.439
2011 01 02	2.157
2011 01 03	2.501
2011 01 04	2.990
2011 01 05	4.503
2011 01 06	1.357
2011 01 07	1.372
2011 01 08	2.880
2011 01 09	1.404
2011 01 10	5.071
2011 01 11	2.859
2011 01 12	1.705
2011 01 13	1.479
2011 01 14	1.499
2011 01 15	2.378
2011 01 16	4.544
2011 01 17	5.416
2011 01 18	1.591
2011 01 19	1.930
2011 01 20	1.643
2011 01 21	1.670
2011 01 22	2.399
2011 01 23	1.727
2011 01 24	1.756
2011 01 25	2.121
2011 01 26	1.818
2011 01 27	2.079
2011 01 28	2.635
2011 01 29	4.034
2011 01 30	1.953
2011 01 31	1.989
2011 02 01	4.513
2011 02 02	3.722
2011 02 03	2.164
2011 02 04	2.141
2011 02 05	2.181
2011 02 06	2.222
2011 02 07	6.132
2011 02 08	5.561
2011 02 09	7.667
2011 02 10	3.008
2011 02 11	2.646
2011 02 12	3.816
2011 02 13	2.531
2011 02 14	3.370
2011 02 15	2.627
2011 02 16	3.047
2011 02 17	2.725
2011 02 18	2.775
2011 02 19	2.826
2011 02 20	6.318
2011 02 21	6.019
2011 02 22	10.564
2011 02 23	10.553
2011 02 24	8.329
2011 02 25	8.284
2011 02 26	11.551
2011 02 27	3.342
2011 02 28	9.191
2011 03 01	11.595
2011 03 02	9.626
2011 03 03	12.582
2011 03 04	12.430
2011 03 05	4.154
2011 03 06	11.458
2011 03 07	13.953
2011 03 08	14.034
2011 03 09	8.835
2011 03 10	7.980
2011 03 11	5.339
2011 03 12	13.051
2011 03 13	7.496
2011 03 14	4.151
2011 03 15	4.316
2011 03 16	4.276
2011 03 17	4.339
2011 03 18	4.402
2011 03 19	15.110
2011 03 20	13.088
2011 03 21	15.932
2011 03 22	16.755
2011 03 23	17.315
2011 03 24	17.157
2011 03 25	6.749
2011 03 26	9.427
2011 03 27	16.820
2011 03 28	15.489
2011 03 29	19.057
2011 03 30	16.536
2011 03 31	6.526
2011 04 01	10.648
2011 04 02	17.951
2011 04 03	12.910
2011 04 04	9.009
2011 04 05	12.436
2011 04 06	6.842
2011 04 07	13.654
2011 04 08	14.145
2011 04 09	15.108
2011 04 10	21.059
2011 04 11	19.173
2011 04 12	12.512
2011 04 13	7.318
2011 04 14	16.083
2011 04 15	10.715
2011 04 16	10.405
2011 04 17	14.609
2011 04 18	23.430
2011 04 19	23.440
2011 04 20	23.513
2011 04 21	23.043
2011 04 22	24.121
2011 04 23	23.777
2011 04 24	24.929
2011 04 25	20.402
2011 04 26	16.385
2011 04 27	9.573
2011 04 28	14.068
2011 04 29	22.070
2011 04 30	25.660
2011 05 01	26.332
2011 05 02	11.997
2011 05 03	19.225
2011 05 04	15.070
2011 05 05	26.044
2011 05 06	25.571
2011 05 07	26.659
2011 05 08	28.175
2011 05 09	28.055
2011 05 10	25.485
2011 05 11	18.957
2011 05 12	16.861
2011 05 13	22.681
2011 05 14	15.701
2011 05 15	17.781
2011 05 16	9.257
2011 05 17	8.716
2011 05 18	25.577
2011 05 19	18.514
2011 05 20	19.761
2011 05 21	16.738
2011 05 22	20.715
2011 05 23	27.400
2011 05 24	24.815
2011 05 25	28.557
2011 05 26	24.203
2011 05 27	16.632
2011 05 28	21.329
2011 05 29	18.429
2011 05 30	30.412
2011 05 31	19.776
2011 06 01	25.823
2011 06 02	31.009
2011 06 03	29.988
2011 06 04	31.076
2011 06 05	28.881
2011 06 06	23.873
2011 06 07	17.210
2011 06 08	8.255
2011 06 09	26.003
2011 06 10	19.687
2011 06 11	19.675
2011 06 12	24.838
2011 06 13	21.078
2011 06 14	15.307
2011 06 15	20.135
2011 06 16	18.264
2011 06 17	24.328
2011 06 18	16.804
2011 06 19	11.574
2011 06 20	23.209
2011 06 21	14.510
2011 06 22	18.124
2011 06 23	18.334
2011 06 24	17.365
2011 06 25	16.266
2011 06 26	16.975
2011 06 27	30.556
2011 06 28	30.310
2011 06 29	24.442
2011 06 30	14.876
2011 07 01	20.669
2011 07 02	8.260
2011 07 03	8.247
2011 07 04	8.232
2011 07 05	13.861
2011 07 06	25.008
2011 07 07	19.914
2011 07 08	18.599
2011 07 09	20.879
2011 07 10	14.350
2011 07 11	24.950
2011 07 12	20.680
2011 07 13	10.884
2011 07 14	13.549
2011 07 15	8.567
2011 07 16	24.389
2011 07 17	8.370
2011 07 18	23.040
2011 07 19	21.021
2011 07 20	17.451
2011 07 21	7.823
2011 07 22	7.790
2011 07 23	14.625
2011 07 24	8.704
2011 07 25	8.384
2011 07 26	20.387
2011 07 27	23.212
2011 07 28	17.443
2011 07 29	8.921
2011 07 30	7.493
2011 07 31	7.452
2011 08 01	7.686
2011 08 02	23.033
2011 08 03	19.756
2011 08 04	13.020
2011 08 05	12.004
2011 08 06	16.125
2011 08 07	14.047
2011 08 08	15.865
2011 08 09	12.810
2011 08 10	11.152
2011 08 11	13.866
2011 08 12	7.830
2011 08 13	13.865
2011 08 14	11.002
2011 08 15	12.258
2011 08 16	10.339
2011 08 17	20.120
2011 08 18	22.505
2011 08 19	12.585
2011 08 20	23.006
2011 08 21	13.815
2011 08 22	21.453
2011 08 23	9.966
2011 08 24	15.655
2011 08 25	17.289
2011 08 26	16.793
2011 08 27	7.803
2011 08 28	11.630
2011 08 29	9.731
2011 08 30	13.150
2011 08 31	12.922
2011 09 01	7.688
2011 09 02	17.794
2011 09 03	18.940
2011 09 04	8.398
2011 09 05	9.345
2011 09 06	11.430
2011 09 07	9.504
2011 09 08	5.804
2011 09 09	5.402
2011 09 10	10.904
2011 09 11	11.787
2011 09 12	13.091
2011 09 13	14.803
2011 09 14	10.441
2011 09 15	11.201
2011 09 16	14.740
2011 09 17	13.680
2011 09 18	5.036
2011 09 19	12.258
2011 09 20	16.288
2011 09 21	12.657
2011 09 22	8.858
2011 09 23	11.117
2011 09 24	14.849
2011 09 25	14.772
2011 09 26	12.981
2011 09 27	5.953
2011 09 28	9.617
2011 09 29	13.284
2011 09 30	14.307
2011 10 01	13.999
2011 10 02	13.773
2011 10 03	9.095
2011 10 04	7.823
2011 10 05	3.852
2011 10 06	5.233
2011 10 07	5.908
2011 10 08	6.235
2011 10 09	10.120
2011 10 10	3.390
2011 10 11	3.333
2011 10 12	6.108
2011 10 13	10.207
2011 10 14	10.214
2011 10 15	10.867
2011 10 16	10.667
2011 10 17	7.568
2011 10 18	3.896
2011 10 19	5.611
2011 10 20	5.322
2011 10 21	9.140
2011 10 22	9.415
2011 10 23	9.139
2011 10 24	6.044
2011 10 25	4.645
2011 10 26	6.826
2011 10 27	2.700
2011 10 28	7.076
2011 10 29	4.972
2011 10 30	2.923
2011 10 31	5.526
2011 11 01	4.318
2011 11 02	6.015
2011 11 03	3.133
2011 11 04	4.454
2011 11 05	2.801
2011 11 06	2.085
2011 11 07	3.751
2011 11 08	2.010
2011 11 09	1.974
2011 11 10	1.939
2011 11 11	1.904
2011 11 12	5.880
2011 11 13	5.694
2011 11 14	4.211
2011 11 15	1.775
2011 11 16	1.745
2011 11 17	1.716
2011 11 18	1.687
2011 11 19	1.660
2011 11 20	4.105
2011 11 21	3.037
2011 11 22	1.583
2011 11 23	2.778
2011 11 24	3.004
2011 11 25	3.905
2011 11 26	1.798
2011 11 27	1.558
2011 11 28	4.414
2011 11 29	4.712
2011 11 30	4.121
2011 12 01	1.399
2011 12 02	1.383
2011 12 03	1.492
2011 12 04	1.394
2011 12 05	2.489
