	1:Selke	(Global radiation)	DAILY								
	nodata	-9999													
	start	2010	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
Date	G-R
2013 04 30	13.523
2013 05 01	14.154
2013 05 02	14.534
2013 05 03	7.112
2013 05 04	20.720
2013 05 05	20.804
2013 05 06	25.145
2013 05 07	24.238
2013 05 08	7.341
2013 05 09	21.309
2013 05 10	13.447
2013 05 11	14.793
2013 05 12	9.668
2013 05 13	14.035
2013 05 14	11.790
2013 05 15	11.254
2013 05 16	22.861
2013 05 17	20.307
2013 05 18	21.081
2013 05 19	9.659
2013 05 20	24.135
2013 05 21	7.984
2013 05 22	16.920
2013 05 23	8.047
2013 05 24	19.138
2013 05 25	10.297
2013 05 26	11.932
2013 05 27	8.014
2013 05 28	8.332
2013 05 29	12.444
2013 05 30	10.423
2013 05 31	8.840
2013 06 01	10.326
2013 06 02	8.299
2013 06 03	8.173
2013 06 04	23.497
2013 06 05	18.108
2013 06 06	30.249
2013 06 07	30.520
2013 06 08	30.932
2013 06 09	28.454
2013 06 10	21.997
2013 06 11	27.745
2013 06 12	18.942
2013 06 13	22.370
2013 06 14	14.879
2013 06 15	15.439
2013 06 16	20.961
2013 06 17	18.383
2013 06 18	26.121
2013 06 19	28.040
2013 06 20	27.418
2013 06 21	19.842
2013 06 22	23.716
2013 06 23	23.612
2013 06 24	17.921
2013 06 25	18.774
2013 06 26	8.319
2013 06 27	12.229
2013 06 28	15.172
2013 06 29	12.788
2013 06 30	10.528
2013 07 01	11.372
2013 07 02	22.184
2013 07 03	23.174
2013 07 04	10.629
2013 07 05	12.873
2013 07 06	16.392
2013 07 07	27.971
2013 07 08	29.599
2013 07 09	29.370
2013 07 10	28.082
2013 07 11	18.720
2013 07 12	15.865
2013 07 13	21.647
2013 07 14	26.435
2013 07 15	9.133
2013 07 16	25.379
2013 07 17	28.029
2013 07 18	25.443
2013 07 19	23.422
2013 07 20	28.316
2013 07 21	21.920
2013 07 22	29.615
2013 07 23	29.206
2013 07 24	28.505
2013 07 25	22.083
2013 07 26	21.787
2013 07 27	20.983
2013 07 28	23.144
2013 07 29	15.164
2013 07 30	9.985
2013 07 31	19.744
2013 08 01	15.126
2013 08 02	24.820
2013 08 03	27.269
2013 08 04	16.299
2013 08 05	14.184
2013 08 06	25.602
2013 08 07	20.681
2013 08 08	7.500
2013 08 09	9.460
2013 08 10	19.992
2013 08 11	15.861
2013 08 12	9.957
2013 08 13	13.732
2013 08 14	14.812
2013 08 15	20.657
2013 08 16	18.673
2013 08 17	19.083
2013 08 18	13.704
2013 08 19	8.335
2013 08 20	9.552
2013 08 21	11.648
2013 08 22	15.874
2013 08 23	20.809
2013 08 24	9.261
2013 08 25	20.779
2013 08 26	16.793
2013 08 27	19.996
2013 08 28	11.020
2013 08 29	16.784
2013 08 30	18.587
2013 08 31	16.522
2013 09 01	9.714
2013 09 02	10.573
2013 09 03	5.660
2013 09 04	6.182
2013 09 05	8.999
2013 09 06	19.675
2013 09 07	19.730
2013 09 08	17.909
2013 09 09	6.636
2013 09 10	7.008
2013 09 11	6.710
2013 09 12	5.212
2013 09 13	6.233
2013 09 14	7.012
2013 09 15	11.095
2013 09 16	7.166
2013 09 17	5.834
2013 09 18	13.223
2013 09 19	4.970
2013 09 20	6.226
2013 09 21	5.640
2013 09 22	7.563
2013 09 23	4.708
2013 09 24	4.350
2013 09 25	4.865
2013 09 26	4.226
2013 09 27	5.105
2013 09 28	12.328
2013 09 29	12.822
2013 09 30	14.033
2013 10 01	13.999
2013 10 02	12.612
2013 10 03	13.421
2013 10 04	12.688
2013 10 05	8.058
2013 10 06	3.621
2013 10 07	3.563
2013 10 08	3.505
2013 10 09	3.773
2013 10 10	3.713
2013 10 11	3.333
2013 10 12	3.277
2013 10 13	3.222
2013 10 14	7.227
2013 10 15	4.693
2013 10 16	3.506
2013 10 17	3.005
2013 10 18	5.929
2013 10 19	2.900
2013 10 20	6.664
2013 10 21	2.867
2013 10 22	4.054
2013 10 23	5.884
2013 10 24	3.249
2013 10 25	7.744
2013 10 26	2.748
2013 10 27	4.302
2013 10 28	5.180
2013 10 29	3.040
2013 10 30	4.208
2013 10 31	5.586
2013 11 01	7.365
2013 11 02	2.244
2013 11 03	2.203
2013 11 04	3.882
2013 11 05	2.293
2013 11 06	4.359
2013 11 07	2.706
2013 11 08	2.010
2013 11 09	2.509
2013 11 10	4.303
2013 11 11	2.993
2013 11 12	3.618
2013 11 13	2.599
2013 11 14	4.511
2013 11 15	4.150
2013 11 16	2.331
2013 11 17	4.178
2013 11 18	1.687
2013 11 19	1.660
2013 11 20	1.633
2013 11 21	1.608
2013 11 22	1.583
2013 11 23	1.559
2013 11 24	1.536
2013 11 25	1.956
2013 11 26	4.767
2013 11 27	4.718
2013 11 28	1.495
2013 11 29	1.433
2013 11 30	1.416
2013 12 01	1.399
2013 12 02	1.591
2013 12 03	3.026
2013 12 04	3.002
2013 12 05	1.339
2013 12 06	1.327
2013 12 07	1.478
2013 12 08	1.466
2013 12 09	1.658
2013 12 10	1.285
2013 12 11	1.276
2013 12 12	1.269
2013 12 13	1.262
2013 12 14	4.230
2013 12 15	2.223
2013 12 16	1.896
2013 12 17	4.295
2013 12 18	2.181
2013 12 19	1.486
2013 12 20	1.239
2013 12 21	1.281
2013 12 22	1.282
2013 12 23	1.495
2013 12 24	3.603
2013 12 25	1.291
2013 12 26	1.253
2013 12 27	1.258
2013 12 28	3.025
2013 12 29	1.405
2013 12 30	2.000
2013 12 31	4.620
2014 01 01	3.231
2014 01 02	1.307
2014 01 03	2.028
2014 01 04	1.331
2014 01 05	1.679
2014 01 06	1.357
2014 01 07	4.007
2014 01 08	2.831
2014 01 09	1.501
2014 01 10	2.151
2014 01 11	4.083
2014 01 12	4.120
2014 01 13	1.528
2014 01 14	1.499
2014 01 15	1.521
2014 01 16	1.544
2014 01 17	1.618
2014 01 18	3.301
2014 01 19	1.617
2014 01 20	1.643
2014 01 21	1.670
2014 01 22	1.698
2014 01 23	1.727
2014 01 24	1.756
2014 01 25	1.787
2014 01 26	1.818
2014 01 27	4.190
2014 01 28	4.713
2014 01 29	1.918
2014 01 30	4.334
2014 01 31	4.266
2014 02 01	2.147
2014 02 02	2.063
2014 02 03	2.102
2014 02 04	2.708
2014 02 05	5.949
2014 02 06	5.150
2014 02 07	2.788
2014 02 08	2.373
2014 02 09	6.119
2014 02 10	6.077
2014 02 11	2.992
2014 02 12	7.597
2014 02 13	5.370
2014 02 14	8.619
2014 02 15	3.137
2014 02 16	7.203
2014 02 17	6.989
2014 02 18	3.457
2014 02 19	2.980
2014 02 20	7.334
2014 02 21	4.593
2014 02 22	7.691
2014 02 23	10.957
2014 02 24	11.112
2014 02 25	10.688
2014 02 26	3.454
2014 02 27	5.136
2014 02 28	4.264
2014 03 01	7.133
2014 03 02	7.501
2014 03 03	9.817
2014 03 04	5.721
2014 03 05	4.154
2014 03 06	5.148
2014 03 07	7.759
2014 03 08	13.465
2014 03 09	13.826
2014 03 10	14.482
2014 03 11	8.773
2014 03 12	14.538
2014 03 13	15.113
2014 03 14	14.986
2014 03 15	6.567
2014 03 16	4.276
2014 03 17	4.443
2014 03 18	4.613
2014 03 19	5.636
2014 03 20	15.762
2014 03 21	5.672
2014 03 22	6.399
2014 03 23	6.818
2014 03 24	9.465
2014 03 25	11.452
2014 03 26	15.075
2014 03 27	16.706
2014 03 28	5.151
2014 03 29	14.056
2014 03 30	14.309
2014 03 31	8.062
2014 04 01	10.172
2014 04 02	15.552
2014 04 03	17.141
2014 04 04	5.478
2014 04 05	5.786
2014 04 06	16.886
2014 04 07	11.781
2014 04 08	10.501
2014 04 09	11.329
2014 04 10	7.242
2014 04 11	5.908
2014 04 12	13.667
2014 04 13	11.062
2014 04 14	13.617
2014 04 15	14.109
2014 04 16	23.793
2014 04 17	21.764
2014 04 18	9.503
2014 04 19	16.774
2014 04 20	17.326
2014 04 21	15.641
2014 04 22	13.169
2014 04 23	19.960
2014 04 24	12.518
2014 04 25	18.348
2014 04 26	18.585
2014 04 27	19.097
2014 04 28	12.683
2014 04 29	21.931
2014 04 30	19.661
2014 05 01	8.275
2014 05 02	7.064
2014 05 03	25.281
2014 05 04	7.866
2014 05 05	22.645
2014 05 06	11.796
2014 05 07	15.981
2014 05 08	10.766
2014 05 09	13.127
2014 05 10	15.023
2014 05 11	15.223
2014 05 12	12.114
2014 05 13	13.314
2014 05 14	16.715
2014 05 15	12.560
2014 05 16	20.979
2014 05 17	15.091
2014 05 18	8.027
2014 05 19	16.918
2014 05 20	27.197
2014 05 21	26.658
2014 05 22	26.846
2014 05 23	14.595
2014 05 24	17.537
2014 05 25	26.366
2014 05 26	23.180
2014 05 27	9.037
2014 05 28	8.040
2014 05 29	8.503
2014 05 30	28.077
2014 05 31	28.963
2014 06 01	24.508
2014 06 02	24.313
2014 06 03	21.844
2014 06 04	28.015
2014 06 05	17.526
2014 06 06	31.118
2014 06 07	27.627
2014 06 08	25.588
2014 06 09	25.138
2014 06 10	21.131
2014 06 11	16.216
2014 06 12	26.563
2014 06 13	13.618
2014 06 14	12.739
2014 06 15	26.112
2014 06 16	14.290
2014 06 17	16.826
2014 06 18	27.250
2014 06 19	9.604
2014 06 20	12.968
2014 06 21	10.442
2014 06 22	18.263
2014 06 23	25.001
2014 06 24	13.195
2014 06 25	9.022
2014 06 26	18.930
2014 06 27	23.981
2014 06 28	17.835
2014 06 29	9.137
2014 06 30	12.211
2014 07 01	15.316
2014 07 02	21.762
2014 07 03	27.821
2014 07 04	27.265
2014 07 05	18.659
2014 07 06	26.703
2014 07 07	13.694
2014 07 08	8.586
2014 07 09	11.256
2014 07 10	14.634
2014 07 11	25.941
2014 07 12	13.741
2014 07 13	12.867
2014 07 14	17.797
2014 07 15	24.847
2014 07 16	14.058
2014 07 17	26.615
2014 07 18	28.836
2014 07 19	28.931
2014 07 20	20.978
2014 07 21	9.796
2014 07 22	22.575
2014 07 23	25.561
2014 07 24	16.006
2014 07 25	7.685
2014 07 26	16.467
2014 07 27	16.805
2014 07 28	16.609
2014 07 29	10.308
2014 07 30	7.493
2014 07 31	24.440
2014 08 01	25.046
2014 08 02	20.285
2014 08 03	11.423
2014 08 04	10.150
2014 08 05	9.415
2014 08 06	22.758
2014 08 07	9.715
2014 08 08	19.238
2014 08 09	17.232
2014 08 10	11.285
2014 08 11	19.585
2014 08 12	17.267
2014 08 13	13.997
2014 08 14	20.330
2014 08 15	11.470
2014 08 16	10.600
2014 08 17	12.991
2014 08 18	13.575
2014 08 19	12.971
2014 08 20	17.497
2014 08 21	16.109
2014 08 22	14.607
2014 08 23	17.027
2014 08 24	16.658
2014 08 25	16.042
2014 08 26	8.739
2014 08 27	21.227
2014 08 28	20.900
2014 08 29	8.393
2014 08 30	6.747
2014 08 31	7.521
2014 09 01	10.668
2014 09 02	7.969
2014 09 03	15.414
2014 09 04	17.498
2014 09 05	18.807
2014 09 06	13.949
2014 09 07	10.186
2014 09 08	15.194
2014 09 09	12.921
2014 09 10	7.898
2014 09 11	7.593
2014 09 12	5.102
2014 09 13	5.039
2014 09 14	6.048
2014 09 15	5.980
2014 09 16	13.793
2014 09 17	15.145
2014 09 18	15.192
2014 09 19	6.202
2014 09 20	7.751
2014 09 21	5.339
2014 09 22	6.965
2014 09 23	10.427
2014 09 24	6.780
2014 09 25	5.538
2014 09 26	4.226
2014 09 27	12.354
2014 09 28	12.888
2014 09 29	10.973
2014 09 30	5.351
2014 10 01	7.520
2014 10 02	7.074
2014 10 03	11.655
2014 10 04	10.430
2014 10 05	9.947
2014 10 06	6.590
2014 10 07	3.814
2014 10 08	4.332
2014 10 09	3.447
2014 10 10	4.842
2014 10 11	3.333
2014 10 12	9.725
2014 10 13	3.765
2014 10 14	6.154
2014 10 15	5.295
2014 10 16	4.326
2014 10 17	5.066
2014 10 18	5.857
2014 10 19	9.748
2014 10 20	3.060
2014 10 21	3.216
2014 10 22	2.748
2014 10 23	4.935
2014 10 24	7.509
2014 10 25	2.601
2014 10 26	5.143
2014 10 27	7.508
2014 10 28	3.599
2014 10 29	6.468
2014 10 30	2.372
2014 10 31	4.863
2014 11 01	7.424
2014 11 02	6.486
2014 11 03	2.552
2014 11 04	2.220
2014 11 05	2.123
2014 11 06	2.140
2014 11 07	6.719
2014 11 08	4.667
2014 11 09	4.969
2014 11 10	2.201
2014 11 11	3.407
2014 11 12	1.871
2014 11 13	1.838
2014 11 14	1.806
2014 11 15	1.775
2014 11 16	1.745
2014 11 17	4.806
2014 11 18	1.687
2014 11 19	1.660
2014 11 20	1.633
2014 11 21	1.608
2014 11 22	3.499
2014 11 23	3.456
2014 11 24	2.648
2014 11 25	1.513
2014 11 26	2.147
2014 11 27	3.722
2014 11 28	1.452
2014 11 29	1.433
2014 11 30	1.416
2014 12 01	1.399
2014 12 02	1.383
2014 12 03	1.367
2014 12 04	1.353
2014 12 05	1.339
2014 12 06	1.613
2014 12 07	2.089
2014 12 08	2.798
2014 12 09	2.428
2014 12 10	1.285
2014 12 11	1.276
2014 12 12	1.269
2014 12 13	1.262
2014 12 14	2.582
2014 12 15	1.252
2014 12 16	1.491
2014 12 17	1.244
2014 12 18	1.242
2014 12 19	1.240
2014 12 20	1.446
2014 12 21	1.530
2014 12 22	1.241
2014 12 23	1.242
2014 12 24	1.245
2014 12 25	2.103
2014 12 26	3.011
2014 12 27	1.258
2014 12 28	1.837
2014 12 29	1.316
2014 12 30	1.279
2014 12 31	1.288
2015 01 01	4.316
2015 01 02	1.543
2015 01 03	1.319
2015 01 04	1.615
2015 01 05	1.344
2015 01 06	1.882
2015 01 07	2.043
2015 01 08	1.388
2015 01 09	1.404
2015 01 10	1.421
2015 01 11	2.076
2015 01 12	1.459
2015 01 13	2.968
2015 01 14	3.350
2015 01 15	1.521
2015 01 16	2.357
2015 01 17	3.979
2015 01 18	3.508
2015 01 19	1.930
2015 01 20	1.643
2015 01 21	4.300
2015 01 22	1.698
2015 01 23	1.727
2015 01 24	4.402
2015 01 25	2.567
2015 01 26	1.818
2015 01 27	2.992
2015 01 28	2.115
2015 01 29	3.682
2015 01 30	1.953
2015 01 31	2.528
2015 02 01	6.697
2015 02 02	2.616
2015 02 03	2.662
2015 02 04	3.465
2015 02 05	3.395
2015 02 06	3.198
2015 02 07	4.296
2015 02 08	6.890
2015 02 09	2.350
2015 02 10	2.394
2015 02 11	3.199
2015 02 12	2.485
2015 02 13	4.873
2015 02 14	8.403
2015 02 15	3.866
2015 02 16	5.199
2015 02 17	2.950
2015 02 18	8.308
2015 02 19	10.120
2015 02 20	4.520
2015 02 21	3.405
2015 02 22	4.978
2015 02 23	3.037
2015 02 24	6.447
2015 02 25	9.942
2015 02 26	11.129
2015 02 27	4.794
2015 02 28	10.401
2015 03 01	3.895
2015 03 02	6.970
2015 03 03	9.371
2015 03 04	5.811
2015 03 05	3.787
2015 03 06	3.663
2015 03 07	10.011
2015 03 08	12.136
2015 03 09	10.562
2015 03 10	4.487
2015 03 11	6.614
2015 03 12	4.027
2015 03 13	7.396
2015 03 14	4.151
2015 03 15	4.214
2015 03 16	7.894
2015 03 17	15.509
2015 03 18	15.788
2015 03 19	16.388
2015 03 20	16.618
2015 03 21	4.700
2015 03 22	17.627
2015 03 23	15.437
2015 03 24	6.343
2015 03 25	15.595
2015 03 26	4.909
2015 03 27	7.593
2015 03 28	9.976
2015 03 29	5.100
2015 03 30	10.674
2015 03 31	8.062
2015 04 01	7.671
2015 04 02	9.672
2015 04 03	9.888
2015 04 04	15.949
2015 04 05	17.854
2015 04 06	16.514
2015 04 07	12.655
2015 04 08	6.102
2015 04 09	14.982
2015 04 10	20.425
2015 04 11	16.495
2015 04 12	20.982
2015 04 13	15.838
2015 04 14	15.564
2015 04 15	21.812
2015 04 16	15.655
2015 04 17	10.634
2015 04 18	20.114
2015 04 19	24.239
2015 04 20	24.320
2015 04 21	24.793
2015 04 22	13.845
2015 04 23	25.277
2015 04 24	24.110
2015 04 25	9.035
2015 04 26	11.435
2015 04 27	6.812
2015 04 28	17.947
2015 04 29	22.904
2015 04 30	14.499
2015 05 01	18.773
2015 05 02	22.287
2015 05 03	15.704
2015 05 04	23.403
2015 05 05	11.172
2015 05 06	21.311
2015 05 07	17.120
2015 05 08	12.051
2015 05 09	12.122
2015 05 10	19.752
2015 05 11	22.690
2015 05 12	14.559
2015 05 13	23.689
2015 05 14	10.921
2015 05 15	26.339
2015 05 16	13.454
2015 05 17	20.742
2015 05 18	16.295
2015 05 19	22.434
2015 05 20	12.471
2015 05 21	22.282
2015 05 22	24.948
2015 05 23	10.375
2015 05 24	24.960
2015 05 25	18.039
2015 05 26	10.909
2015 05 27	11.812
2015 05 28	14.904
2015 05 29	20.619
2015 05 30	20.199
2015 05 31	18.027
2015 06 01	12.958
2015 06 02	17.034
2015 06 03	16.899
2015 06 04	29.473
2015 06 05	30.628
2015 06 06	21.265
2015 06 07	23.576
2015 06 08	22.265
2015 06 09	19.082
2015 06 10	14.922
2015 06 11	23.710
2015 06 12	27.282
2015 06 13	13.905
2015 06 14	13.595
2015 06 15	23.835
2015 06 16	16.561
2015 06 17	26.169
2015 06 18	12.429
2015 06 19	11.996
2015 06 20	15.353
2015 06 21	12.827
2015 06 22	8.756
2015 06 23	14.306
2015 06 24	12.917
2015 06 25	20.585
2015 06 26	11.670
2015 06 27	11.670
2015 06 28	19.377
2015 06 29	22.617
2015 06 30	27.357
2015 07 01	30.810
2015 07 02	30.482
2015 07 03	25.145
2015 07 04	25.855
2015 07 05	20.635
2015 07 06	26.138
2015 07 07	24.437
2015 07 08	15.073
2015 07 09	19.322
2015 07 10	22.137
2015 07 11	22.826
2015 07 12	9.917
2015 07 13	8.760
2015 07 14	9.726
2015 07 15	16.495
2015 07 16	22.408
2015 07 17	21.523
2015 07 18	20.355
2015 07 19	10.005
2015 07 20	24.647
2015 07 21	18.677
2015 07 22	11.310
2015 07 23	15.887
2015 07 24	18.956
2015 07 25	15.793
2015 07 26	15.908
2015 07 27	10.676
2015 07 28	11.326
2015 07 29	19.465
2015 07 30	14.830
2015 07 31	16.015
2015 08 01	24.357
2015 08 02	26.194
2015 08 03	26.313
2015 08 04	20.399
2015 08 05	25.764
2015 08 06	25.331
2015 08 07	25.690
2015 08 08	14.921
2015 08 09	23.262
2015 08 10	23.475
2015 08 11	22.245
2015 08 12	13.545
2015 08 13	21.675
2015 08 14	17.308
2015 08 15	9.633
2015 08 16	10.600
2015 08 17	6.640
2015 08 18	6.586
2015 08 19	7.304
2015 08 20	14.037
2015 08 21	22.610
2015 08 22	22.087
2015 08 23	21.692
2015 08 24	14.527
2015 08 25	11.804
2015 08 26	20.883
2015 08 27	6.078
2015 08 28	10.898
2015 08 29	20.433
2015 08 30	19.433
2015 08 31	20.243
2015 09 01	7.211
2015 09 02	18.977
2015 09 03	9.068
2015 09 04	14.582
2015 09 05	8.422
2015 09 06	6.277
2015 09 07	14.958
2015 09 08	17.570
2015 09 09	13.145
2015 09 10	9.791
2015 09 11	6.820
2015 09 12	8.057
2015 09 13	8.837
2015 09 14	8.084
2015 09 15	10.455
2015 09 16	4.851
2015 09 17	4.997
2015 09 18	14.881
2015 09 19	7.947
2015 09 20	7.344
2015 09 21	6.041
2015 09 22	4.475
2015 09 23	6.976
2015 09 24	11.835
2015 09 25	8.039
2015 09 26	9.936
2015 09 27	12.260
2015 09 28	13.356
2015 09 29	10.234
2015 09 30	10.104
2015 10 01	13.999
2015 10 02	13.683
2015 10 03	12.803
2015 10 04	10.516
2015 10 05	8.917
2015 10 06	4.300
2015 10 07	3.563
2015 10 08	3.505
2015 10 09	3.447
2015 10 10	10.328
2015 10 11	11.697
2015 10 12	10.433
2015 10 13	3.222
2015 10 14	3.167
2015 10 15	3.112
2015 10 16	3.058
2015 10 17	3.078
2015 10 18	3.969
2015 10 19	2.900
2015 10 20	2.849
2015 10 21	3.913
2015 10 22	2.816
2015 10 23	6.562
2015 10 24	6.510
2015 10 25	2.601
2015 10 26	5.079
2015 10 27	5.456
2015 10 28	4.611
2015 10 29	2.978
2015 10 30	2.372
2015 10 31	4.018
2015 11 01	7.663
2015 11 02	7.252
2015 11 03	5.515
2015 11 04	5.486
2015 11 05	5.626
2015 11 06	2.085
2015 11 07	3.311
2015 11 08	4.992
2015 11 09	2.883
2015 11 10	1.991
2015 11 11	2.111
2015 11 12	2.076
2015 11 13	1.990
2015 11 14	2.608
2015 11 15	1.775
2015 11 16	1.794
2015 11 17	1.861
2015 11 18	2.642
2015 11 19	3.075
2015 11 20	2.193
2015 11 21	2.023
2015 11 22	2.632
2015 11 23	2.101
2015 11 24	2.426
2015 11 25	1.513
2015 11 26	3.981
2015 11 27	4.631
2015 11 28	2.010
2015 11 29	1.433
2015 11 30	1.711
2015 12 01	2.364
2015 12 02	1.383
2015 12 03	4.270
2015 12 04	1.435
2015 12 05	1.873
2015 12 06	3.002
2015 12 07	1.478
2015 12 08	4.171
2015 12 09	1.739
2015 12 10	3.912
2015 12 11	1.276
2015 12 12	2.157
2015 12 13	1.424
2015 12 14	1.578
2015 12 15	1.252
2015 12 16	1.572
2015 12 17	1.326
2015 12 18	1.446
2015 12 19	2.634
2015 12 20	1.322
2015 12 21	2.027
2015 12 22	1.324
2015 12 23	2.377
2015 12 24	3.098
2015 12 25	2.274
2015 12 26	2.711
2015 12 27	1.258
2015 12 28	1.264
2015 12 29	1.271
2015 12 30	1.594
2015 12 31	1.470
2016 01 01	1.470
