	3:Selke	(Abfluss)	DAILY								
	nodata	-9999									
	n	1	measurements	per	day	"[1,"	1440]				
	start	1993	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
YYYY	MM	DD	HH	NN	IN						
1993	7	11	0	0	-9999						
1993	7	12	0	0	-9999						
1993	7	13	0	0	-9999						
1993	7	14	0	0	-9999						
1993	7	15	0	0	-9999						
1993	7	16	0	0	-9999						
1993	7	17	0	0	-9999						
1993	7	18	0	0	-9999						
1993	7	19	0	0	-9999						
1993	7	20	0	0	-9999						
1993	7	21	0	0	-9999						
1993	7	22	0	0	-9999						
1993	7	23	0	0	-9999						
1993	7	24	0	0	-9999						
1993	7	25	0	0	-9999						
1993	7	26	0	0	-9999						
1993	7	27	0	0	-9999						
1993	7	28	0	0	-9999						
1993	7	29	0	0	-9999						
1993	7	30	0	0	-9999						
1993	7	31	0	0	-9999						
1993	8	1	0	0	-9999						
1993	8	2	0	0	-9999						
1993	8	3	0	0	-9999						
1993	8	4	0	0	-9999						
1993	8	5	0	0	-9999						
1993	8	6	0	0	-9999						
1993	8	7	0	0	-9999						
1993	8	8	0	0	-9999						
1993	8	9	0	0	-9999						
1993	8	10	0	0	-9999						
1993	8	11	0	0	-9999						
1993	8	12	0	0	-9999						
1993	8	13	0	0	-9999						
1993	8	14	0	0	-9999						
1993	8	15	0	0	-9999						
1993	8	16	0	0	-9999						
1993	8	17	0	0	-9999						
1993	8	18	0	0	-9999						
1993	8	19	0	0	-9999						
1993	8	20	0	0	-9999						
1993	8	21	0	0	-9999						
1993	8	22	0	0	-9999						
1993	8	23	0	0	-9999						
1993	8	24	0	0	-9999						
1993	8	25	0	0	-9999						
1993	8	26	0	0	-9999						
1993	8	27	0	0	-9999						
1993	8	28	0	0	-9999						
1993	8	29	0	0	-9999						
1993	8	30	0	0	-9999						
1993	8	31	0	0	-9999						
1993	9	1	0	0	-9999						
1993	9	2	0	0	-9999						
1993	9	3	0	0	-9999						
1993	9	4	0	0	-9999						
1993	9	5	0	0	-9999						
1993	9	6	0	0	-9999						
1993	9	7	0	0	-9999						
1993	9	8	0	0	-9999						
1993	9	9	0	0	-9999						
1993	9	10	0	0	-9999						
1993	9	11	0	0	-9999						
1993	9	12	0	0	-9999						
1993	9	13	0	0	-9999						
1993	9	14	0	0	-9999						
1993	9	15	0	0	-9999						
1993	9	16	0	0	-9999						
1993	9	17	0	0	-9999						
1993	9	18	0	0	-9999						
1993	9	19	0	0	-9999						
1993	9	20	0	0	-9999						
1993	9	21	0	0	-9999						
1993	9	22	0	0	-9999						
1993	9	23	0	0	-9999						
1993	9	24	0	0	-9999						
1993	9	25	0	0	-9999						
1993	9	26	0	0	-9999						
1993	9	27	0	0	-9999						
1993	9	28	0	0	-9999						
1993	9	29	0	0	-9999						
1993	9	30	0	0	-9999						
1993	10	1	0	0	-9999						
1993	10	2	0	0	-9999						
1993	10	3	0	0	-9999						
1993	10	4	0	0	-9999						
1993	10	5	0	0	-9999						
1993	10	6	0	0	-9999						
1993	10	7	0	0	-9999						
1993	10	8	0	0	-9999						
1993	10	9	0	0	-9999						
1993	10	10	0	0	-9999						
1993	10	11	0	0	-9999						
1993	10	12	0	0	-9999						
1993	10	13	0	0	-9999						
1993	10	14	0	0	-9999						
1993	10	15	0	0	-9999						
1993	10	16	0	0	-9999						
1993	10	17	0	0	-9999						
1993	10	18	0	0	-9999						
1993	10	19	0	0	-9999						
1993	10	20	0	0	-9999						
1993	10	21	0	0	-9999						
1993	10	22	0	0	-9999						
1993	10	23	0	0	-9999						
1993	10	24	0	0	-9999						
1993	10	25	0	0	-9999						
1993	10	26	0	0	-9999						
1993	10	27	0	0	-9999						
1993	10	28	0	0	-9999						
1993	10	29	0	0	-9999						
1993	10	30	0	0	-9999						
1993	10	31	0	0	-9999						
1993	11	1	0	0	-9999						
1993	11	2	0	0	-9999						
1993	11	3	0	0	-9999						
1993	11	4	0	0	-9999						
1993	11	5	0	0	-9999						
1993	11	6	0	0	-9999						
1993	11	7	0	0	-9999						
1993	11	8	0	0	-9999						
1993	11	9	0	0	-9999						
1993	11	10	0	0	-9999						
1993	11	11	0	0	-9999						
1993	11	12	0	0	-9999						
1993	11	13	0	0	-9999						
1993	11	14	0	0	-9999						
1993	11	15	0	0	-9999						
1993	11	16	0	0	-9999						
1993	11	17	0	0	-9999						
1993	11	18	0	0	-9999						
1993	11	19	0	0	-9999						
1993	11	20	0	0	-9999						
1993	11	21	0	0	-9999						
1993	11	22	0	0	-9999						
1993	11	23	0	0	-9999						
1993	11	24	0	0	-9999						
1993	11	25	0	0	-9999						
1993	11	26	0	0	-9999						
1993	11	27	0	0	-9999						
1993	11	28	0	0	-9999						
1993	11	29	0	0	-9999						
1993	11	30	0	0	-9999						
1993	12	1	0	0	-9999						
1993	12	2	0	0	-9999						
1993	12	3	0	0	-9999						
1993	12	4	0	0	-9999						
1993	12	5	0	0	-9999						
1993	12	6	0	0	-9999						
1993	12	7	0	0	-9999						
1993	12	8	0	0	-9999						
1993	12	9	0	0	-9999						
1993	12	10	0	0	-9999						
1993	12	11	0	0	-9999						
1993	12	12	0	0	-9999						
1993	12	13	0	0	-9999						
1993	12	14	0	0	-9999						
1993	12	15	0	0	-9999						
1993	12	16	0	0	-9999						
1993	12	17	0	0	-9999						
1993	12	18	0	0	-9999						
1993	12	19	0	0	-9999						
1993	12	20	0	0	-9999						
1993	12	21	0	0	-9999						
1993	12	22	0	0	-9999						
1993	12	23	0	0	-9999						
1993	12	24	0	0	-9999						
1993	12	25	0	0	-9999						
1993	12	26	0	0	-9999						
1993	12	27	0	0	-9999						
1993	12	28	0	0	-9999						
1993	12	29	0	0	-9999						
1993	12	30	0	0	-9999						
1993	12	31	0	0	-9999						
1994	1	1	0	0	-9999						
1994	1	2	0	0	-9999						
1994	1	3	0	0	-9999						
1994	1	4	0	0	-9999						
1994	1	5	0	0	-9999						
1994	1	6	0	0	-9999						
1994	1	7	0	0	-9999						
1994	1	8	0	0	-9999						
1994	1	9	0	0	-9999						
1994	1	10	0	0	-9999						
1994	1	11	0	0	-9999						
1994	1	12	0	0	-9999						
1994	1	13	0	0	3.04						
1994	1	14	0	0	-9999						
1994	1	15	0	0	-9999						
1994	1	16	0	0	-9999						
1994	1	17	0	0	-9999						
1994	1	18	0	0	-9999						
1994	1	19	0	0	-9999						
1994	1	20	0	0	-9999						
1994	1	21	0	0	-9999						
1994	1	22	0	0	-9999						
1994	1	23	0	0	-9999						
1994	1	24	0	0	-9999						
1994	1	25	0	0	-9999						
1994	1	26	0	0	-9999						
1994	1	27	0	0	-9999						
1994	1	28	0	0	-9999						
1994	1	29	0	0	-9999						
1994	1	30	0	0	-9999						
1994	1	31	0	0	-9999						
1994	2	1	0	0	-9999						
1994	2	2	0	0	-9999						
1994	2	3	0	0	-9999						
1994	2	4	0	0	-9999						
1994	2	5	0	0	-9999						
1994	2	6	0	0	-9999						
1994	2	7	0	0	-9999						
1994	2	8	0	0	-9999						
1994	2	9	0	0	-9999						
1994	2	10	0	0	-9999						
1994	2	11	0	0	-9999						
1994	2	12	0	0	-9999						
1994	2	13	0	0	-9999						
1994	2	14	0	0	-9999						
1994	2	15	0	0	-9999						
1994	2	16	0	0	-9999						
1994	2	17	0	0	-9999						
1994	2	18	0	0	-9999						
1994	2	19	0	0	-9999						
1994	2	20	0	0	-9999						
